Hit Count,Page No,Product URL,Product Name,Product Price,Rating,Number of Reviews
20,2,https://www.amazon.in//Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1679491441&sprefix=ba%2Caps%2C283&sr=8-22,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"1,131",4.3,"5,175"
21,2,https://www.amazon.in//ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1679491441&sprefix=ba%2Caps%2C283&sr=8-23,ADISA Laptop Backpack 31 Ltrs,499,4.0,"9,091"
22,2,https://www.amazon.in//Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1679491441&sprefix=ba%2Caps%2C283&sr=8-24,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",839,4.2,"4,964"
23,2,https://www.amazon.in//F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1679491441&sprefix=ba%2Caps%2C283&sr=8-25,F Gear Luxur Brown 25 liter Laptop Backpack (2404),"1,032",4.4,"16,474"
24,2,https://www.amazon.in//Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1679491441&sprefix=ba%2Caps%2C283&sr=8-26,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",799,3.9,"2,442"
25,2,https://www.amazon.in//Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1679491441&sprefix=ba%2Caps%2C283&sr=8-29,Fur Jaden Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port,799,4.0,"10,761"
26,2,https://www.amazon.in//Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1679491441&sprefix=ba%2Caps%2C283&sr=8-30,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",312,4.1,"8,199"
27,2,https://www.amazon.in//Motherly-Diaper-Travel-Basic-Black/dp/B07QXSNDKN/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1679491441&sprefix=ba%2Caps%2C283&sr=8-31,motherly Diaper Bags for Mom Travel Basic Edition (Black),"1,536",4.5,"2,335"
28,2,https://www.amazon.in//AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1679491441&sprefix=ba%2Caps%2C283&sr=8-32,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",929,3.9,753
29,2,https://www.amazon.in//Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1679491441&sprefix=ba%2Caps%2C283&sr=8-33,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)",799,4.1,495
30,2,https://www.amazon.in//ADISA-Laptop-Backpack-Office-College/dp/B0BPVCBFM7/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1679491441&sprefix=ba%2Caps%2C283&sr=8-34,ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Green),599,3.9,36
31,2,https://www.amazon.in//Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1679491441&sprefix=ba%2Caps%2C283&sr=8-35,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",652,4.4,"2,734"
